Thetas Estimation;Log Var Thetas Estimation
-0.4452418;-1.9310994
-1.2854389;-1.3671521
-0.7667277;-2.1437273
0.33119327;-2.0067549
1.1947212;-1.5908146
0.997977;-2.1973925
1.2194506;-1.6248057
-0.5553489;-1.882028
-1.9018077;-0.7127408
-1.931605;-0.88878965
-1.5163959;-1.1226933
-0.56112766;-2.1297297
1.0997399;-2.340254
-0.17560503;-2.0938401
-1.7586809;-1.3673477
1.0999149;-2.2590137
-1.488916;-0.9632311
0.7058443;-2.0289388
-0.69808495;-2.1242034
-0.31869033;-1.891577
-1.7914146;-1.0589628
0.5586596;-2.2823641
1.1579564;-1.9524764
-1.51281;-1.3727465
-0.25256938;-1.9530466
1.2320782;-1.6084323
-0.5588667;-2.1396117
-1.8922782;-0.7938238
0.98827374;-2.0469792
1.127778;-2.2439675
-1.2075827;-1.2967834
-1.7243856;-0.9629034
0.3773957;-2.1139898
0.9859376;-2.1210241
-0.58958375;-1.8332568
-1.7461584;-0.7485115
-0.3291621;-2.14565
-0.26867798;-2.3140037
-1.5273196;-0.9696963
-0.58990777;-2.0088267
-1.8402356;-0.7218129
-1.8119965;-0.66862464
-0.21707648;-1.9579239
-1.8396492;-0.67447233
1.0563482;-2.1606772
0.9787625;-1.9420426
-0.41975626;-1.9599496
-0.17186922;-2.2873735
-0.28924868;-1.9242111
-1.7526665;-1.0510145
1.1314049;-1.8932302
-1.4765341;-1.2444531
-1.3931572;-0.8208476
1.2257798;-2.067334
-1.5659436;-0.9441445
-1.9889189;-0.56831455
-0.28024158;-2.089273
-0.24797821;-2.2118654
1.2322049;-1.8520943
-0.12084961;-1.9210262
-1.5680202;-0.9545486
-0.14365464;-2.0508428
1.0958844;-1.973319
-0.3760298;-1.8881887
1.2038386;-1.6013708
-1.7715168;-0.71209633
-0.3403255;-2.0884542
-0.2980562;-1.8478997
-0.2275986;-2.1803448
1.2218832;-1.6034392
-1.398415;-0.9129186
0.8653543;-2.3476112
-0.31015584;-1.9155629
-0.5120537;-2.070117
0.489667;-1.9452505
1.1469198;-1.982956
1.0223784;-1.699158
1.0497347;-1.6960545
0.53400403;-2.245236
-1.4395759;-1.0192833
0.65518045;-2.092465
-0.3205524;-1.9370292
-0.20178638;-2.0738387
-0.15654477;-2.0235486
0.6528652;-1.8216478
-0.50325984;-2.0553393
-0.24316001;-1.9637021
-0.21216944;-2.2384439
-0.2519213;-2.0449991
1.2935605;-1.8323959
0.7044958;-1.8922093
-0.48159263;-1.7764744
1.0029196;-2.0457284
1.1782893;-1.914726
1.1766815;-2.0845232
-0.3374998;-2.2566097
-0.22327709;-1.7880576
1.2834865;-1.8127553
-0.394798;-2.237227
-0.36698112;-2.2069037
-1.2040408;-0.9977652
0.95556486;-1.9232279
1.1841338;-1.549516
-0.31889424;-2.1178627
0.9655366;-2.2368329
-1.4217948;-0.8073383
1.1362652;-1.9438837
-0.30368406;-1.91307
1.0478425;-1.6818168
1.0949868;-1.8085885
0.711606;-2.0181644
0.67520106;-1.9021597
-0.28370786;-1.8318646
-1.8108666;-0.684676
-1.6845716;-0.6958774
1.0505732;-1.9832093
0.70613813;-2.1035633
1.2585202;-1.5818257
1.1079028;-2.188319
-0.32382545;-1.9573579
-0.3574077;-1.9906716
1.2134082;-1.6044998
-0.35568383;-1.9282227
0.9450115;-2.3638072
0.92291105;-2.0273886
1.070765;-2.1948214
-0.47166657;-2.3385112
1.2026498;-1.5848373
0.51654226;-1.9562445
-0.3190207;-1.9467361
0.52285737;-1.7477257
-0.2675563;-1.8435282
1.1776325;-2.0678444
-0.2552271;-2.0554483
1.2228953;-1.8875602
1.1912856;-1.9456133
-0.38387462;-2.039935
-0.33208406;-2.2954893
-0.29552704;-2.279667
-0.51139796;-2.012291
0.9706836;-2.4083338
0.77741396;-2.1716561
0.58890784;-1.969373
-1.3108795;-0.6242313
-0.034057796;-2.3687665
-1.4718047;-1.2103318
-0.49689505;-1.8714802
-1.4648563;-0.89864695
-0.31433553;-2.1454844
-0.008645445;-2.300645
0.6424861;-2.048462
-1.4168991;-1.0137523
1.3129318;-1.6916962
-0.25484353;-2.0894492
-0.23423803;-1.8999156
-0.17974952;-2.18488
0.5891247;-2.0803223
-0.37300545;-1.7395947
-1.4696873;-1.1648983
-1.4775009;-1.3232754
-0.39281622;-1.9497827
-1.811828;-0.769824
1.1131614;-2.048221
-0.1580882;-2.1047904
1.2121019;-2.18016
1.1878296;-2.0777264
-0.4334;-1.8848499
-0.29217416;-2.0660126
-0.25382206;-2.1889448
-0.34707934;-2.2771924
-0.37359953;-2.2963881
-1.389396;-0.9888949
-0.42711794;-2.0515301
-1.4064058;-0.7654697
-0.21183641;-2.2696986
-1.4915972;-1.1097447
-1.5089098;-0.9090422
-1.3863504;-0.68350923
-1.6512512;-1.0284426
-1.5735748;-1.0490232
-1.4064058;-0.7654697
-1.3202665;-1.0516756
-0.08790523;-2.1469972
-0.1747407;-2.0420303
1.1836987;-1.9046583
0.64112806;-2.3970938
-1.4713227;-0.886675
1.1700128;-2.0315652
-0.114939034;-1.9082371
-1.8370583;-0.8557814
1.1583395;-1.9520046
1.1566833;-1.9327581
0.9802302;-2.1592302
-1.389396;-0.9888949
1.2108701;-2.1272273
1.1921993;-1.8117998
-1.6813995;-0.5952694
-0.48417318;-2.170895
-1.180763;-1.24318
-1.4529322;-1.2345558
1.1905681;-1.9518832
-1.8118405;-0.9170885
-1.505822;-0.7338031
-1.4226258;-0.87622935
-1.7517631;-0.6488706
0.487122;-2.0435157
-0.34505522;-2.006979
1.0184039;-1.818721
-0.5605472;-1.9483067
-0.13488463;-2.1531825
0.6834972;-1.7775247
0.67908216;-2.0310285
1.1685414;-1.8426907
1.2054079;-1.996728
-0.15201864;-2.1423082
-1.4509367;-1.6826594
-1.5441996;-1.1858109
-0.066326946;-2.5320606
0.31995022;-2.2379088
1.1878338;-2.008916
-1.1720042;-1.7837437
1.2099379;-2.2710056
0.08858743;-2.1409717
-1.552385;-1.606523
-1.4646603;-2.0703082
-1.2740425;-2.1510882
-1.3533853;-1.365499
-1.0115918;-1.3173141
-0.40237662;-2.1794145
-1.4550818;-1.4829695
-1.5463287;-1.6606526
-0.14882669;-2.2375007
0.46014684;-2.2812042
0.37201464;-2.3138957
1.3474993;-2.1484473
-1.354591;-1.1364734
-1.5315646;-1.1251999
0.05252722;-2.3395214
-0.10852571;-2.5745008
-1.478927;-2.2093859
1.4145069;-2.0434287
-0.13970658;-1.8726534
-0.1564166;-2.2156029
-1.419096;-2.1688519
0.015903309;-2.5847263
1.1333182;-1.9435157
-1.4638503;-1.1702747
-1.1561847;-2.193036
-0.43693817;-2.0439234
-0.037794307;-2.1171873
-1.0137002;-1.7482722
-1.182518;-1.3606212
-1.3333367;-1.3182786
-0.066696465;-2.4645839
-1.4724025;-1.6490732
-0.09736849;-2.1569726
-1.4271123;-1.7112479
-0.3968516;-1.9859524
-1.552154;-1.7455295
0.15826517;-2.222344
0.107501864;-2.051145
-1.3999497;-1.748067
-1.4705924;-1.384969
0.47172427;-2.386723
-1.0241737;-1.9955624
0.06860945;-2.3966854
0.2528706;-2.5278268
1.1966519;-2.3122907
0.08944747;-2.1943069
-0.68980134;-2.1866317
0.20588252;-2.6031344
1.6201938;-2.2147343
-1.0694947;-2.31494
0.88560057;-2.3891377
1.2527069;-2.3016453
0.3704952;-2.5001268
-0.8417983;-1.9076538
-0.7254115;-2.2498536
-0.97096074;-1.8355304
0.93925166;-1.8146468
0.5322419;-2.2267294
1.0630596;-2.0041769
1.0729729;-2.367125
0.20843926;-2.6116629
1.1633794;-1.9569703
0.20231435;-2.31569
-1.6655052;-2.1750925
0.1974163;-2.3298545
-1.4711922;-1.4297209
-0.022574529;-2.4293613
1.1558237;-2.1261225
1.5473995;-1.9872075
1.2402046;-2.1456172
-1.5083678;-2.0724375
-1.0774431;-1.8502923
0.20200673;-2.5032797
1.5450132;-2.0334463
1.1780967;-2.55099
-1.0859693;-1.9353687
1.3816558;-2.3236394
1.1965433;-2.4488177
0.3022204;-2.2265978
0.205369;-2.0802023
0.1377106;-2.3576279
-0.021814495;-2.1842117
1.5196295;-1.9187098
-0.68810725;-2.1822333
-0.6671702;-2.174417
0.29659513;-2.2477925
-1.0735006;-2.4226956
-0.21689841;-2.029009
1.3928216;-2.0049496
0.39534336;-2.0374436
-0.97249377;-1.828765
0.1634492;-2.6074882
1.516241;-2.002795
-0.1454052;-2.4595146
1.460278;-2.129909
1.358349;-2.0976954
-1.399008;-1.9289595
1.1163112;-2.0728564
-0.046964377;-2.5452497
0.5583168;-2.1359649
1.4979256;-1.6526935
0.3220777;-2.2681866
-1.1471491;-1.8937167
1.2684397;-1.9783163
1.5898813;-2.2870157
-1.4018497;-1.6865304
0.17750418;-1.8985808
0.8833959;-1.9378945
-1.074069;-2.3868377
1.2136441;-2.199358
-1.1530361;-1.5201917
0.49218595;-2.5639544
