Thetas Estimation;Log Var Thetas Estimation
0.4961939;-3.0640526
-1.3135513;-1.4527128
1.6403837;-1.3724096
0.5378337;-2.8871827
-1.2919601;-1.3055773
-0.27614835;-3.4612496
0.6789701;-2.781636
0.51254344;-2.736969
-1.3880507;-1.5965576
0.5714152;-2.7710373
1.7833108;-1.240083
-1.3583386;-1.1762805
1.3514642;-1.7370782
-0.2106621;-3.597399
-1.2991191;-1.1943326
1.3902159;-1.8420641
0.5940548;-2.857005
0.8537084;-2.5999289
-0.72331;-2.323421
0.5398801;-2.8257775
1.3672953;-1.9395826
-0.7879771;-2.615607
0.4968443;-3.139186
-1.2718952;-1.242691
-1.4912456;-1.6364183
-0.24053308;-3.7047698
-1.3678303;-1.1539841
0.60188746;-2.8218143
0.52330196;-2.967098
1.3027056;-1.8820527
0.630463;-2.759672
0.69641626;-2.6446478
-0.2808469;-3.6440754
-0.4662318;-3.2979734
0.43043697;-2.8718874
-1.4003507;-1.2121365
1.3439108;-1.8106425
-1.3485738;-1.1732874
0.66398835;-2.5432756
-1.3484751;-1.1489785
-1.3475981;-1.3433973
0.58879054;-2.6152475
-0.39763305;-3.223941
-1.4160728;-1.2854986
1.7028792;-1.2945337
-0.78534865;-2.2842445
0.7281288;-2.695368
-0.7981801;-2.0851407
0.7541331;-2.8468363
-0.43768308;-3.0994222
-0.75455165;-2.5613701
-1.2876542;-1.4110384
0.5963216;-2.902941
-1.2503412;-1.1076572
-1.3830593;-1.2153667
-1.3499727;-1.196993
-0.49189952;-3.2038012
-1.3657365;-1.2630892
-0.38532844;-3.3133013
0.6372324;-2.9177153
-1.3010052;-1.3507901
0.42209387;-2.958539
1.3393824;-1.6484796
-1.4042572;-1.4365858
1.622799;-1.314763
-1.3826408;-1.41377
0.5569881;-2.75871
1.1095105;-2.0543916
-0.7453177;-2.6218278
-1.3683687;-1.6635644
-0.3775469;-3.1255221
0.53491306;-2.8219674
-0.773371;-2.3476715
1.3635473;-1.7592326
1.4188468;-1.8235394
0.61390674;-2.7817419
-0.773371;-2.3476715
-0.40178338;-3.2137127
-1.3762903;-1.2325134
1.2534311;-2.006421
-0.39277723;-3.1913903
0.6280097;-2.926036
-1.3788629;-1.1782169
0.85694826;-2.4910617
-1.342823;-1.1171024
-1.3499727;-1.196993
-1.2645117;-1.2206311
-1.3826408;-1.41377
-0.77699256;-2.61366
-1.3674344;-1.4552252
-1.4114863;-1.3621402
0.54469705;-2.8377593
0.6574714;-2.8401756
-1.3916899;-1.4764307
0.630463;-2.759672
-0.43517134;-3.0078616
0.53004575;-3.0936525
1.7365503;-1.2611644
0.66349375;-2.7710931
-0.7690617;-2.4766212
-0.8020482;-2.6816654
1.252863;-1.7987554
-1.3678303;-1.1539841
-1.329522;-1.3164425
1.6849412;-1.4851589
0.49281195;-2.7254775
-1.3762903;-1.2325134
1.2991177;-1.8783197
1.7147143;-1.3103311
0.82492244;-2.3543072
1.2387718;-1.8280053
0.82633996;-2.72752
0.46198398;-2.7511895
-0.30184373;-3.0814366
-1.349524;-1.1290953
-1.2922043;-1.4654846
1.7612545;-1.3136992
-0.40981302;-3.3324552
0.7696601;-2.3822372
-1.3251312;-1.0468278
