;CNT;CNTSTUID;DS269Q01C;DS269Q03C;CS269Q04S;CS408Q01S;DS408Q03C;CS408Q04S;CS408Q05S;CS466Q01S;CS466Q05S;CS466Q07S;DS519Q01C;CS519Q02S;DS519Q03C;CS521Q02S;CS521Q06S;CS527Q01S;CS527Q03S;CS527Q04S
0;Brazil;7601123.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1;Brazil;7625849.0;0.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;1.0;0.0;0.0;1.0;0.0
2;Brazil;7607249.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;-1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0
3;Brazil;7623390.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
4;Brazil;7604169.0;-1.0;-1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
5;Brazil;7614384.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;-1.0;0.0;0.0
6;Brazil;7630326.0;-1.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
7;Brazil;7616801.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0
8;Brazil;7605736.0;0.0;1.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;1.0;1.0;0.0;0.0;0.0
9;Brazil;7611883.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0
10;Brazil;7623510.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Brazil;7602072.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-1.0
12;Brazil;7629781.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
13;Brazil;7613177.0;1.0;-1.0;1.0;1.0;-1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0
14;Brazil;7610106.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;1.0;1.0;0.0;0.0;0.0
15;Brazil;7627682.0;-1.0;-1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
16;Brazil;7629069.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
17;Brazil;7619937.0;-1.0;-1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0
18;Brazil;7614905.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0
19;Brazil;7623437.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;-1.0
20;Brazil;7607988.0;0.0;-1.0;0.0;1.0;0.0;0.0;1.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0
21;Brazil;7627696.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0
22;Brazil;7603466.0;-1.0;-1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
23;Brazil;7622770.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0
24;Brazil;7627201.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.0;1.0;-1.0;1.0;1.0;0.0;1.0;0.0
25;Brazil;7605002.0;0.0;-1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
26;Brazil;7609550.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
27;Brazil;7610420.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;1.0;0.0
28;Brazil;7626802.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
29;Brazil;7610492.0;-1.0;0.0;0.0;0.0;-1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
30;Brazil;7624690.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;0.0;1.0
